# el_label, x, y, sXX, sYY, sZZ, sXY
1.000000000000000000e+00 5.184048843383789062e+01 -1.959293746948242188e+01 -2.787217378616333008e+00 -2.882687807083129883e+00 -1.700971603393554688e+00 -2.315094470977783203e+00
2.000000000000000000e+00 5.164986419677734375e+01 -1.965021133422851562e+01 -4.026381969451904297e-01 9.623000621795654297e-01 1.678985506296157837e-01 3.882489502429962158e-01
3.000000000000000000e+00 5.145924377441406250e+01 -1.970748710632324219e+01 -1.184016108512878418e+00 -3.569229841232299805e-01 -4.622817337512969971e-01 -1.677235215902328491e-01
4.000000000000000000e+00 5.126862335205078125e+01 -1.976476478576660156e+01 -1.422343373298645020e+00 1.695808917284011841e-01 -3.758287429809570312e-01 -1.851007491350173950e-01
5.000000000000000000e+00 5.186268615722656250e+01 -1.964695930480957031e+01 7.262800693511962891e+00 -1.052082061767578125e+00 1.863215684890747070e+00 3.111078977584838867e+00
6.000000000000000000e+00 5.168685913085937500e+01 -1.974024963378906250e+01 2.141596794128417969e+00 6.120716929435729980e-01 8.261005878448486328e-01 1.338955879211425781e+00
7.000000000000000000e+00 5.151103591918945312e+01 -1.983353996276855469e+01 1.807471156120300293e+00 1.329895377159118652e+00 9.412099719047546387e-01 1.839303255081176758e+00
8.000000000000000000e+00 5.133521270751953125e+01 -1.992683029174804688e+01 1.003647089004516602e+00 5.898150801658630371e-01 4.780386686325073242e-01 1.168584227561950684e+00
9.000000000000000000e+00 5.189497375488281250e+01 -1.969562530517578125e+01 9.073675155639648438e+00 4.595963001251220703e+00 4.100891590118408203e+00 8.137560844421386719e+00
1.000000000000000000e+01 5.174067687988281250e+01 -1.982136154174804688e+01 5.351174831390380859e+00 2.831359386444091797e+00 2.454760074615478516e+00 4.664850711822509766e+00
1.100000000000000000e+01 5.158638000488281250e+01 -1.994709777832031250e+01 3.214186191558837891e+00 2.653804779052734375e+00 1.760397195816040039e+00 3.420838832855224609e+00
1.200000000000000000e+01 5.143207931518554688e+01 -2.007283210754394531e+01 2.612137556076049805e+00 2.719907522201538086e+00 1.599613547325134277e+00 3.178104877471923828e+00
1.300000000000000000e+01 5.193611907958984375e+01 -1.973707580566406250e+01 8.881206512451171875e+00 1.146256351470947266e+01 6.103130817413330078e+00 1.113113307952880859e+01
1.400000000000000000e+01 5.180925369262695312e+01 -1.989044380187988281e+01 5.342921733856201172e+00 7.016424655914306641e+00 3.707803964614868164e+00 7.214830398559570312e+00
1.500000000000000000e+01 5.168238449096679688e+01 -2.004381179809570312e+01 4.078327655792236328e+00 5.768595218658447266e+00 2.954076766967773438e+00 5.521756172180175781e+00
1.600000000000000000e+01 5.155551910400390625e+01 -2.019718170166015625e+01 2.878775596618652344e+00 4.798408508300781250e+00 2.303155183792114258e+00 4.567983627319335938e+00
1.700000000000000000e+01 5.198454666137695312e+01 -1.976972198486328125e+01 6.561863899230957031e+00 1.856823539733886719e+01 7.539029598236083984e+00 1.199070262908935547e+01
1.800000000000000000e+01 5.188996505737304688e+01 -1.994485473632812500e+01 4.649660110473632812e+00 1.229125595092773438e+01 5.082274913787841797e+00 8.374137878417968750e+00
1.900000000000000000e+01 5.179538345336914062e+01 -2.011998748779296875e+01 3.231484889984130859e+00 9.524263381958007812e+00 3.826724529266357422e+00 6.614528656005859375e+00
2.000000000000000000e+01 5.170080184936523438e+01 -2.029512023925781250e+01 2.494909286499023438e+00 8.305248260498046875e+00 3.240047454833984375e+00 5.544538974761962891e+00
2.100000000000000000e+01 5.203840637207031250e+01 -1.979231643676757812e+01 4.553721904754638672e+00 2.535504722595214844e+01 8.972630500793457031e+00 1.061558151245117188e+01
2.200000000000000000e+01 5.197972869873046875e+01 -1.998251152038574219e+01 2.983345270156860352e+00 1.729906845092773438e+01 6.084723949432373047e+00 7.976024627685546875e+00
2.300000000000000000e+01 5.192105102539062500e+01 -2.017270660400390625e+01 2.240682840347290039e+00 1.389517593383789062e+01 4.840757846832275391e+00 6.470784187316894531e+00
2.400000000000000000e+01 5.186237335205078125e+01 -2.036290168762207031e+01 1.418294668197631836e+00 1.169781589508056641e+01 3.934833288192749023e+00 5.561777591705322266e+00
2.500000000000000000e+01 5.209563064575195312e+01 -1.980399322509765625e+01 2.801238298416137695e+00 3.058838462829589844e+01 1.001688671112060547e+01 7.508124828338623047e+00
2.600000000000000000e+01 5.207510375976562500e+01 -2.000197219848632812e+01 2.029909849166870117e+00 2.177799987792968750e+01 7.142373085021972656e+00 6.122826099395751953e+00
2.700000000000000000e+01 5.205457687377929688e+01 -2.019995117187500000e+01 1.016902208328247070e+00 1.759923171997070312e+01 5.584840297698974609e+00 5.223631858825683594e+00
2.800000000000000000e+01 5.203404998779296875e+01 -2.039793205261230469e+01 6.041182279586791992e-01 1.518895244598388672e+01 4.737921237945556641e+00 4.392801284790039062e+00
2.900000000000000000e+01 5.215403366088867188e+01 -1.980430412292480469e+01 2.756121873855590820e+00 3.397880554199218750e+01 1.102047824859619141e+01 3.441733837127685547e+00
3.000000000000000000e+01 5.217244338989257812e+01 -2.000249290466308594e+01 1.519947648048400879e+00 2.500982284545898438e+01 7.958931446075439453e+00 3.286619186401367188e+00
3.100000000000000000e+01 5.219085311889648438e+01 -2.020067977905273438e+01 8.033362030982971191e-01 2.042089271545410156e+01 6.367268562316894531e+00 2.950805187225341797e+00
3.200000000000000000e+01 5.220926284790039062e+01 -2.039886856079101562e+01 -1.994280144572257996e-02 1.769064712524414062e+01 5.301211357116699219e+00 2.656201362609863281e+00
3.300000000000000000e+01 5.221138000488281250e+01 -1.979324150085449219e+01 4.320743083953857422e+00 3.527221298217773438e+01 1.187788677215576172e+01 -9.059189558029174805e-01
3.400000000000000000e+01 5.226802062988281250e+01 -1.998405265808105469e+01 2.096185684204101562e+00 2.674813079833984375e+01 8.653295516967773438e+00 1.777936369180679321e-01
