# el_label, x, y, sXX, sYY, sZZ, sXY
1.000000000000000000e+00 4.454376983642578125e+01 -2.153533744812011719e+01 -3.985643982887268066e-01 -7.796659320592880249e-02 -1.429592967033386230e-01 -2.087869793176651001e-01
2.000000000000000000e+00 4.525796890258789062e+01 -2.133341026306152344e+01 -5.729078054428100586e-01 -1.029009446501731873e-01 -2.027426362037658691e-01 -2.522113323211669922e-01
3.000000000000000000e+00 4.405188369750976562e+01 -2.244241142272949219e+01 -2.254672050476074219e-01 -1.688965559005737305e-01 -1.183091327548027039e-01 -2.972408533096313477e-01
4.000000000000000000e+00 4.615114593505859375e+01 -2.184869003295898438e+01 -6.272602677345275879e-01 -1.619813889265060425e-01 -2.367724925279617310e-01 -4.311136007308959961e-01
5.000000000000000000e+00 4.545270156860351562e+01 -2.204736137390136719e+01 -4.655503630638122559e-01 -1.676055043935775757e-01 -1.899467557668685913e-01 -3.951838612556457520e-01
6.000000000000000000e+00 4.475288772583007812e+01 -2.224522018432617188e+01 -3.363928198814392090e-01 -1.860115677118301392e-01 -1.567213088274002075e-01 -3.489831387996673584e-01
7.000000000000000000e+00 4.597079086303710938e+01 -2.113067054748535156e+01 -7.343377470970153809e-01 -7.980237901210784912e-02 -2.442420423030853271e-01 -2.878971993923187256e-01
8.000000000000000000e+00 4.382838821411132812e+01 -2.173659515380859375e+01 -2.346909940242767334e-01 -8.117142319679260254e-02 -9.475872665643692017e-02 -1.491887271404266357e-01
9.000000000000000000e+00 4.742242813110351562e+01 -2.080677986145019531e+01 -1.170463800430297852e+00 -8.271986991167068481e-02 -3.759551048278808594e-01 -3.493016958236694336e-01
1.000000000000000000e+01 4.815383148193359375e+01 -2.066137695312500000e+01 -1.394107937812805176e+00 -1.048770844936370850e-01 -4.496954977512359619e-01 -3.866598606109619141e-01
1.100000000000000000e+01 4.686201095581054688e+01 -2.167665290832519531e+01 -7.808712124824523926e-01 -1.449481844902038574e-01 -2.777458131313323975e-01 -4.761610329151153564e-01
1.200000000000000000e+01 4.830693054199218750e+01 -2.138541984558105469e+01 -1.103166341781616211e+00 -1.483146548271179199e-01 -3.754442930221557617e-01 -5.296493172645568848e-01
1.300000000000000000e+01 4.888698577880859375e+01 -2.051945686340332031e+01 -1.603643536567687988e+00 -9.292297065258026123e-02 -5.089699625968933105e-01 -4.253386557102203369e-01
1.400000000000000000e+01 4.903206253051757812e+01 -2.124509811401367188e+01 -1.269011616706848145e+00 -1.543235182762145996e-01 -4.270005524158477783e-01 -5.474968552589416504e-01
1.500000000000000000e+01 4.758355331420898438e+01 -2.152922821044921875e+01 -9.346275925636291504e-01 -1.626773774623870850e-01 -3.291915059089660645e-01 -5.043886303901672363e-01
1.600000000000000000e+01 4.669285964965820312e+01 -2.095580101013183594e+01 -9.343507289886474609e-01 -8.665404468774795532e-02 -3.063014447689056396e-01 -3.097603023052215576e-01
1.700000000000000000e+01 5.036022949218750000e+01 -2.024225044250488281e+01 -2.015384912490844727e+00 -1.008140891790390015e-01 -6.348596811294555664e-01 -4.846579134464263916e-01
1.800000000000000000e+01 5.123764038085937500e+01 -2.082924842834472656e+01 -1.706694960594177246e+00 -1.178721711039543152e-01 -5.473701357841491699e-01 -5.643508434295654297e-01
1.900000000000000000e+01 4.976291656494140625e+01 -2.110580253601074219e+01 -1.425964951515197754e+00 -1.367163062095642090e-01 -4.688043892383575439e-01 -5.663378834724426270e-01
2.000000000000000000e+01 5.197274780273437500e+01 -2.068717575073242188e+01 -1.821487903594970703e+00 -1.136910766363143921e-01 -5.805537104606628418e-01 -5.438179969787597656e-01
2.100000000000000000e+01 5.050101470947265625e+01 -2.096874237060546875e+01 -1.571321964263916016e+00 -1.408851444721221924e-01 -5.136620998382568359e-01 -5.677841305732727051e-01
2.200000000000000000e+01 5.183234024047851562e+01 -1.996061325073242188e+01 -2.361588001251220703e+00 -1.041726469993591309e-01 -7.397282123565673828e-01 -5.295925736427307129e-01
2.300000000000000000e+01 4.962194442749023438e+01 -2.037934684753417969e+01 -1.812659621238708496e+00 -1.082585379481315613e-01 -5.762754678726196289e-01 -4.525957107543945312e-01
2.400000000000000000e+01 5.109704208374023438e+01 -2.010272216796875000e+01 -2.198602199554443359e+00 -1.139446794986724854e-01 -6.937640905380249023e-01 -5.074176192283630371e-01
2.500000000000000000e+01 5.405023574829101562e+01 -1.952743339538574219e+01 -2.603928804397583008e+00 -1.002210676670074463e-01 -8.112449645996093750e-01 -5.245077610015869141e-01
2.600000000000000000e+01 5.331044006347656250e+01 -1.967299842834472656e+01 -2.562361001968383789e+00 -9.655011445283889771e-02 -7.976733446121215820e-01 -5.407008528709411621e-01
2.700000000000000000e+01 5.271442794799804688e+01 -2.054370307922363281e+01 -1.911543726921081543e+00 -7.895013689994812012e-02 -5.971481800079345703e-01 -5.134161710739135742e-01
2.800000000000000000e+01 5.495590972900390625e+01 -2.010264968872070312e+01 -1.922303438186645508e+00 -8.075647987425327301e-03 -5.791137218475341797e-01 -2.974340617656707764e-01
2.900000000000000000e+01 5.478977203369140625e+01 -1.938115119934082031e+01 -2.613535165786743164e+00 -1.101746708154678345e-01 -8.171129822731018066e-01 -5.239792466163635254e-01
3.000000000000000000e+01 5.420899581909179688e+01 -2.025038337707519531e+01 -1.990962505340576172e+00 -2.498764917254447937e-02 -6.047850251197814941e-01 -4.069490432739257812e-01
3.100000000000000000e+01 5.257042312622070312e+01 -1.981785011291503906e+01 -2.485149383544921875e+00 -1.156605780124664307e-01 -7.802430391311645508e-01 -5.390181541442871094e-01
3.200000000000000000e+01 5.346182250976562500e+01 -2.039739990234375000e+01 -1.972508192062377930e+00 -5.692731589078903198e-02 -6.088306307792663574e-01 -4.625444710254669189e-01
3.300000000000000000e+01 5.553008651733398438e+01 -1.920907402038574219e+01 -2.445736408233642578e+00 -1.180047392845153809e-01 -7.691223025321960449e-01 -5.052330493927001953e-01
3.400000000000000000e+01 5.725695419311523438e+01 -1.950564956665039062e+01 -1.468353629112243652e+00 3.026579022407531738e-01 -3.497087061405181885e-01 1.243206933140754700e-01
3.500000000000000000e+01 5.571527862548828125e+01 -1.992561912536621094e+01 -1.840633392333984375e+00 8.669466525316238403e-02 -5.261815786361694336e-01 -1.590886563062667847e-01
3.600000000000000000e+01 5.802567672729492188e+01 -1.928994750976562500e+01 -1.189700484275817871e+00 4.381500482559204102e-01 -2.254651188850402832e-01 3.468075990676879883e-01
3.700000000000000000e+01 5.701029205322265625e+01 -1.880601882934570312e+01 -1.808343172073364258e+00 -1.327318698167800903e-02 -5.464848875999450684e-01 -3.012014329433441162e-01
3.800000000000000000e+01 5.627075195312500000e+01 -1.900946998596191406e+01 -2.131204605102539062e+00 -4.932700097560882568e-02 -6.541594862937927246e-01 -4.318336546421051025e-01
3.900000000000000000e+01 5.774827575683593750e+01 -1.859877204895019531e+01 -1.409669399261474609e+00 6.628837436437606812e-02 -4.030143022537231445e-01 -1.491533964872360229e-01
4.000000000000000000e+01 5.648667907714843750e+01 -1.971755790710449219e+01 -1.710283637046813965e+00 1.793299019336700439e-01 -4.592861235141754150e-01 -2.928504906594753265e-02
4.100000000000000000e+01 5.914070129394531250e+01 -1.790256118774414062e+01 -7.786223292350769043e-02 4.220002889633178711e-01 1.032414138317108154e-01 2.943948209285736084e-01
4.200000000000000000e+01 5.952583312988281250e+01 -1.853448677062988281e+01 -5.445851087570190430e-01 8.459798693656921387e-01 9.041843563318252563e-02 6.215799450874328613e-01
4.300000000000000000e+01 6.026574707031250000e+01 -1.809379196166992188e+01 -1.252279281616210938e-01 1.180392622947692871e+00 3.165494203567504883e-01 8.020793795585632324e-01
4.400000000000000000e+01 5.878223419189453125e+01 -1.896722793579101562e+01 -9.412018656730651855e-01 7.114301919937133789e-01 -6.893151253461837769e-02 5.134742259979248047e-01
