# el_label, x, y, sXX, sYY, sZZ, sXY
1.000000000000000000e+00 5.881795120239257812e+01 -6.419198513031005859e+00 -4.905591011047363281e+00 -2.677090167999267578e+00 -2.274804353713989258e+00 -2.707090139389038086e+00
2.000000000000000000e+00 5.861999893188476562e+01 -6.440005779266357422e+00 -7.603456974029541016e-01 1.076764464378356934e+00 9.492562711238861084e-02 7.479106187820434570e-01
3.000000000000000000e+00 5.842205047607421875e+01 -6.460813045501708984e+00 -2.000681638717651367e+00 -4.930287301540374756e-01 -7.481131553649902344e-01 -2.564166858792304993e-02
4.000000000000000000e+00 5.822409820556640625e+01 -6.481620788574218750e+00 -2.251996755599975586e+00 3.053058385848999023e-01 -5.840072631835937500e-01 1.193722561001777649e-01
5.000000000000000000e+00 5.882970809936523438e+01 -6.476407527923583984e+00 1.037513637542724609e+01 -2.387470960617065430e+00 2.396299600601196289e+00 1.990790009498596191e+00
6.000000000000000000e+00 5.863959503173828125e+01 -6.535353660583496094e+00 3.169751644134521484e+00 3.348987102508544922e-01 1.051395058631896973e+00 1.442220211029052734e+00
7.000000000000000000e+00 5.844948577880859375e+01 -6.594300270080566406e+00 2.932643413543701172e+00 9.634874463081359863e-01 1.168839216232299805e+00 2.055950880050659180e+00
8.000000000000000000e+00 5.825937271118164062e+01 -6.653246879577636719e+00 1.473999142646789551e+00 1.102763712406158447e-01 4.752826690673828125e-01 1.406900525093078613e+00
9.000000000000000000e+00 5.885237884521484375e+01 -6.530232429504394531e+00 1.531706142425537109e+01 2.738206148147583008e+00 5.416580200195312500e+00 9.096360206604003906e+00
1.000000000000000000e+01 5.867737960815429688e+01 -6.625062465667724609e+00 9.045350074768066406e+00 1.596418380737304688e+00 3.192530632019042969e+00 5.258895397186279297e+00
1.100000000000000000e+01 5.850238037109375000e+01 -6.719892501831054688e+00 5.681987762451171875e+00 2.219884157180786133e+00 2.370561599731445312e+00 4.252975940704345703e+00
1.200000000000000000e+01 5.832738113403320312e+01 -6.814722537994384766e+00 4.724757671356201172e+00 1.981635212898254395e+00 2.011917829513549805e+00 3.998494148254394531e+00
1.300000000000000000e+01 5.888509368896484375e+01 -6.578614234924316406e+00 1.685549926757812500e+01 9.704154014587402344e+00 7.967896461486816406e+00 1.444557857513427734e+01
1.400000000000000000e+01 5.873190307617187500e+01 -6.705698966979980469e+00 1.057255744934082031e+01 6.095217227935791016e+00 5.000332355499267578e+00 9.381349563598632812e+00
1.500000000000000000e+01 5.857871627807617188e+01 -6.832783699035644531e+00 8.146678924560546875e+00 4.864268779754638672e+00 3.903284311294555664e+00 7.522805690765380859e+00
1.600000000000000000e+01 5.842552947998046875e+01 -6.959868431091308594e+00 6.276001930236816406e+00 4.585772037506103516e+00 3.258532285690307617e+00 6.446938514709472656e+00
1.700000000000000000e+01 5.892660140991210938e+01 -6.619701862335205078e+00 1.489603805541992188e+01 1.844392395019531250e+01 1.000198841094970703e+01 1.763232040405273438e+01
1.800000000000000000e+01 5.880108642578125000e+01 -6.774177551269531250e+00 1.054080390930175781e+01 1.198137474060058594e+01 6.756653785705566406e+00 1.241742038726806641e+01
1.900000000000000000e+01 5.867556762695312500e+01 -6.928653717041015625e+00 8.068192481994628906e+00 9.438510894775390625e+00 5.252010822296142578e+00 9.886698722839355469e+00
2.000000000000000000e+01 5.855005264282226562e+01 -7.083129882812500000e+00 6.783944606781005859e+00 8.005915641784667969e+00 4.436958312988281250e+00 8.768472671508789062e+00
2.100000000000000000e+01 5.897531509399414062e+01 -6.651921749114990234e+00 1.204942989349365234e+01 2.736837196350097656e+01 1.182534027099609375e+01 1.818781852722167969e+01
2.200000000000000000e+01 5.888227462768554688e+01 -6.827877998352050781e+00 8.729773521423339844e+00 1.866259384155273438e+01 8.217710494995117188e+00 1.350587081909179688e+01
2.300000000000000000e+01 5.878923034667968750e+01 -7.003834247589111328e+00 7.076787948608398438e+00 1.497584438323974609e+01 6.615789413452148438e+00 1.121388912200927734e+01
2.400000000000000000e+01 5.869618988037109375e+01 -7.179790496826171875e+00 5.630613803863525391e+00 1.253459167480468750e+01 5.449561595916748047e+00 9.562006950378417969e+00
2.500000000000000000e+01 5.902936935424804688e+01 -6.674042224884033203e+00 8.877401351928710938e+00 3.543619537353515625e+01 1.329407882690429688e+01 1.609767723083496094e+01
2.600000000000000000e+01 5.897236251831054688e+01 -6.864745140075683594e+00 6.896454334259033203e+00 2.517262840270996094e+01 9.620724678039550781e+00 1.277553367614746094e+01
2.700000000000000000e+01 5.891535568237304688e+01 -7.055448055267333984e+00 5.267632007598876953e+00 2.044021797180175781e+01 7.712354660034179688e+00 1.081929111480712891e+01
2.800000000000000000e+01 5.885834884643554688e+01 -7.246151447296142578e+00 4.268788337707519531e+00 1.794544601440429688e+01 6.664270401000976562e+00 9.561689376831054688e+00
2.900000000000000000e+01 5.908669281005859375e+01 -6.685215950012207031e+00 7.086905002593994141e+00 4.169909286499023438e+01 1.463579940795898438e+01 1.208637809753417969e+01
3.000000000000000000e+01 5.906790542602539062e+01 -6.883368015289306641e+00 5.292576313018798828e+00 3.060320281982421875e+01 1.076873397827148438e+01 1.031908416748046875e+01
3.100000000000000000e+01 5.904911422729492188e+01 -7.081520080566406250e+00 3.931495904922485352e+00 2.539839744567871094e+01 8.798968315124511719e+00 9.086454391479492188e+00
3.200000000000000000e+01 5.903032684326171875e+01 -7.279672622680664062e+00 3.175938606262207031e+00 2.217356681823730469e+01 7.604851722717285156e+00 8.266102790832519531e+00
