# el_label, x, y, sXX, sYY, sZZ, sXY
1.000000000000000000e+00 6.933712768554687500e+01 1.928652572631835938e+01 6.108433604240417480e-01 -2.864568471908569336e+00 -6.761175394058227539e-01 -1.083783030509948730e+00
2.000000000000000000e+00 6.914858245849609375e+01 1.922274398803710938e+01 1.354261159896850586e+00 1.453073978424072266e+00 8.422005176544189453e-01 9.981747865676879883e-01
3.000000000000000000e+00 6.896003723144531250e+01 1.915896224975585938e+01 5.420827772468328476e-03 -3.547068834304809570e-01 -1.047858223319053650e-01 2.578379511833190918e-01
4.000000000000000000e+00 6.877148437500000000e+01 1.909518241882324219e+01 -4.486858844757080078e-01 3.931653201580047607e-01 -1.665617525577545166e-02 3.710087388753890991e-02
5.000000000000000000e+00 6.936112976074218750e+01 1.923334884643554688e+01 9.914825439453125000e+00 1.297076698392629623e-02 2.978338956832885742e+00 5.232947349548339844e+00
6.000000000000000000e+00 6.918859100341796875e+01 1.913411903381347656e+01 3.719246864318847656e+00 1.495306015014648438e+00 1.564365863800048828e+00 2.499806404113769531e+00
7.000000000000000000e+00 6.901604461669921875e+01 1.903488731384277344e+01 2.935546636581420898e+00 2.004447221755981445e+00 1.481998085975646973e+00 2.603990316390991211e+00
8.000000000000000000e+00 6.884350585937500000e+01 1.893565559387207031e+01 1.864458203315734863e+00 9.779142737388610840e-01 8.527117371559143066e-01 1.736050128936767578e+00
9.000000000000000000e+00 6.939501953125000000e+01 1.918585777282714844e+01 1.081720066070556641e+01 6.869089126586914062e+00 5.305887222290039062e+00 1.045407676696777344e+01
1.000000000000000000e+01 6.924507141113281250e+01 1.905496597290039062e+01 6.507729530334472656e+00 4.327230930328369141e+00 3.250488042831420898e+00 6.169954776763916016e+00
1.100000000000000000e+01 6.909512329101562500e+01 1.892407226562500000e+01 4.112365245819091797e+00 4.032204627990722656e+00 2.443370819091796875e+00 4.427811145782470703e+00
1.200000000000000000e+01 6.894516754150390625e+01 1.879317855834960938e+01 3.145042419433593750e+00 3.684758901596069336e+00 2.048940420150756836e+00 3.994557619094848633e+00
1.300000000000000000e+01 6.943750000000000000e+01 1.914586448669433594e+01 9.757667541503906250e+00 1.438877487182617188e+01 7.243932723999023438e+00 1.331879901885986328e+01
1.400000000000000000e+01 6.931587219238281250e+01 1.898830795288085938e+01 6.211730003356933594e+00 9.386333465576171875e+00 4.679419040679931641e+00 8.667335510253906250e+00
1.500000000000000000e+01 6.919423675537109375e+01 1.883075332641601562e+01 4.482259750366210938e+00 7.675247669219970703e+00 3.647252321243286133e+00 6.756976604461669922e+00
1.600000000000000000e+01 6.907260131835937500e+01 1.867319679260253906e+01 3.415627717971801758e+00 6.637767314910888672e+00 3.016018629074096680e+00 5.452079296112060547e+00
1.700000000000000000e+01 6.948694610595703125e+01 1.911489486694335938e+01 7.295310497283935547e+00 2.225443458557128906e+01 8.864923477172851562e+00 1.357084846496582031e+01
1.800000000000000000e+01 6.939827728271484375e+01 1.893669319152832031e+01 4.900135517120361328e+00 1.499220371246337891e+01 5.967701911926269531e+00 9.835360527038574219e+00
1.900000000000000000e+01 6.930960845947265625e+01 1.875848960876464844e+01 3.671646833419799805e+00 1.219044780731201172e+01 4.758628368377685547e+00 7.709768772125244141e+00
2.000000000000000000e+01 6.922093963623046875e+01 1.858028602600097656e+01 2.608185529708862305e+00 1.066935348510742188e+01 3.983261585235595703e+00 6.573342323303222656e+00
2.100000000000000000e+01 6.954146575927734375e+01 1.909413146972656250e+01 4.762300968170166016e+00 2.894964790344238281e+01 1.011358451843261719e+01 1.180431175231933594e+01
2.200000000000000000e+01 6.948915100097656250e+01 1.890208816528320312e+01 3.485009908676147461e+00 2.050588035583496094e+01 7.197267055511474609e+00 9.085892677307128906e+00
2.300000000000000000e+01 6.943682861328125000e+01 1.871004295349121094e+01 2.178980112075805664e+00 1.680216217041015625e+01 5.694342613220214844e+00 7.622610092163085938e+00
2.400000000000000000e+01 6.938451385498046875e+01 1.851799964904785156e+01 1.768257617950439453e+00 1.474260807037353516e+01 4.953259468078613281e+00 6.449115276336669922e+00
2.500000000000000000e+01 6.959899139404296875e+01 1.908436965942382812e+01 3.627245426177978516e+00 3.410005187988281250e+01 1.131818866729736328e+01 8.346791267395019531e+00
2.600000000000000000e+01 6.958502197265625000e+01 1.888581657409667969e+01 2.063634634017944336e+00 2.506182861328125000e+01 8.137639045715332031e+00 7.077239990234375000e+00
2.700000000000000000e+01 6.957104492187500000e+01 1.868726539611816406e+01 1.432977318763732910e+00 2.076917266845703125e+01 6.660645008087158203e+00 6.132178306579589844e+00
2.800000000000000000e+01 6.955707550048828125e+01 1.848871231079101562e+01 5.117044448852539062e-01 1.830708312988281250e+01 5.645636558532714844e+00 5.403460502624511719e+00
