# el_label, x, y, sXX, sYY, sZZ, sXY
1.000000000000000000e+00 1.558220195770263672e+01 1.168801546096801758e+00 3.572833776473999023e+00 -2.169190406799316406e+00 4.210929870605468750e-01 -2.562788426876068115e-01
2.000000000000000000e+00 1.539343070983886719e+01 1.105692148208618164e+00 3.719884634017944336e+00 1.293015837669372559e+00 1.503870129585266113e+00 1.712980389595031738e+00
3.000000000000000000e+00 1.520465946197509766e+01 1.042582750320434570e+00 1.958932161331176758e+00 7.145813852548599243e-02 6.091170907020568848e-01 8.494450449943542480e-01
4.000000000000000000e+00 1.501588821411132812e+01 9.794733524322509766e-01 9.919580817222595215e-01 3.616133630275726318e-01 4.060714244842529297e-01 6.488886475563049316e-01
5.000000000000000000e+00 1.560604858398437500e+01 1.115487337112426758e+00 1.185613822937011719e+01 6.818760931491851807e-02 3.577297925949096680e+00 5.663142204284667969e+00
6.000000000000000000e+00 1.543317604064941406e+01 1.016835212707519531e+00 5.631158351898193359e+00 1.773037433624267578e+00 2.221258640289306641e+00 3.124680757522583008e+00
7.000000000000000000e+00 1.526030349731445312e+01 9.181830286979675293e-01 4.364634513854980469e+00 1.990960240364074707e+00 1.906678438186645508e+00 3.333777904510498047e+00
8.000000000000000000e+00 1.508743000030517578e+01 8.195308446884155273e-01 2.963619709014892578e+00 1.417418003082275391e+00 1.314311385154724121e+00 2.460769653320312500e+00
9.000000000000000000e+00 1.563981914520263672e+01 1.067835807800292969e+00 1.255828380584716797e+01 6.609475612640380859e+00 5.750328063964843750e+00 1.051988410949707031e+01
1.000000000000000000e+01 1.548945903778076172e+01 9.374160170555114746e-01 7.970793724060058594e+00 4.183621883392333984e+00 3.646324634552001953e+00 6.616252422332763672e+00
1.100000000000000000e+01 1.533909988403320312e+01 8.069962263107299805e-01 5.233439922332763672e+00 4.082861900329589844e+00 2.794890403747558594e+00 5.110736370086669922e+00
1.200000000000000000e+01 1.518874073028564453e+01 6.765764355659484863e-01 4.059124469757080078e+00 3.755454063415527344e+00 2.344373464584350586e+00 4.769445896148681641e+00
1.300000000000000000e+01 1.568221950531005859e+01 1.027670502662658691e+00 1.147325801849365234e+01 1.347327518463134766e+01 7.483960151672363281e+00 1.321895027160644531e+01
1.400000000000000000e+01 1.556012725830078125e+01 8.704738616943359375e-01 7.458850860595703125e+00 8.965681076049804688e+00 4.927359580993652344e+00 8.971523284912109375e+00
1.500000000000000000e+01 1.543803501129150391e+01 7.132771611213684082e-01 5.537955284118652344e+00 7.276583194732666016e+00 3.844361543655395508e+00 7.297196388244628906e+00
1.600000000000000000e+01 1.531594276428222656e+01 5.560805201530456543e-01 3.948287963867187500e+00 6.491198062896728516e+00 3.131845712661743164e+00 6.183280944824218750e+00
1.700000000000000000e+01 1.573162937164306641e+01 9.965283870697021484e-01 8.953004837036132812e+00 2.080950546264648438e+01 8.928752899169921875e+00 1.344216060638427734e+01
1.800000000000000000e+01 1.564247608184814453e+01 8.185703158378601074e-01 6.261188030242919922e+00 1.403021335601806641e+01 6.087420463562011719e+00 1.008750247955322266e+01
1.900000000000000000e+01 1.555332279205322266e+01 6.406122446060180664e-01 4.488308429718017578e+00 1.150259971618652344e+01 4.797272682189941406e+00 8.126664161682128906e+00
2.000000000000000000e+01 1.546416950225830078e+01 4.626541435718536377e-01 3.279067754745483398e+00 9.935752868652343750e+00 3.964446306228637695e+00 7.252867221832275391e+00
2.100000000000000000e+01 1.578615570068359375e+01 9.756011962890625000e-01 6.704595088958740234e+00 2.695690155029296875e+01 1.009844875335693359e+01 1.184196090698242188e+01
2.200000000000000000e+01 1.573335361480712891e+01 7.836915850639343262e-01 4.686850547790527344e+00 1.911028480529785156e+01 7.139140605926513672e+00 9.312981605529785156e+00
2.300000000000000000e+01 1.568055152893066406e+01 5.917820334434509277e-01 3.199511289596557617e+00 1.560629653930664062e+01 5.641742229461669922e+00 8.070165634155273438e+00
2.400000000000000000e+01 1.562774944305419922e+01 3.998724818229675293e-01 2.289914608001708984e+00 1.368709564208984375e+01 4.793103218078613281e+00 6.980379104614257812e+00
2.500000000000000000e+01 1.584371280670166016e+01 9.656896591186523438e-01 5.440275669097900391e+00 3.166189956665039062e+01 1.113065242767333984e+01 8.486121177673339844e+00
2.600000000000000000e+01 1.582928276062011719e+01 7.671724557876586914e-01 3.540914535522460938e+00 2.317259788513183594e+01 8.014053344726562500e+00 7.509307861328125000e+00
