# el_label, x, y, sXX, sYY, sZZ, sXY
1.000000000000000000e+00 1.863804435729980469e+01 -9.929746985435485840e-01 -3.753657102584838867e+00 -1.544268131256103516e+00 -1.589377641677856445e+00 -2.101450443267822266e+00
2.000000000000000000e+00 1.843939971923828125e+01 -1.005548596382141113e+00 8.806222677230834961e-01 5.902317166328430176e-01 4.412561953067779541e-01 2.598159909248352051e-01
3.000000000000000000e+00 1.824075698852539062e+01 -1.018122434616088867e+00 7.601841092109680176e-01 -2.769140005111694336e-01 1.449810266494750977e-01 -2.092700451612472534e-01
4.000000000000000000e+00 1.804211425781250000e+01 -1.030696392059326172e+00 1.069335460662841797e+00 1.659463495016098022e-01 3.705845475196838379e-01 -9.131464362144470215e-02
5.000000000000000000e+00 1.864741706848144531e+01 -1.050622701644897461e+00 7.061955928802490234e+00 -1.833904266357421875e+00 1.568415522575378418e+00 -9.305033832788467407e-02
6.000000000000000000e+00 1.845502090454101562e+01 -1.101628541946411133e+00 3.406836748123168945e+00 -5.003538727760314941e-02 1.007040381431579590e+00 8.783086389303207397e-02
7.000000000000000000e+00 1.826262664794921875e+01 -1.152634382247924805e+00 3.918081760406494141e+00 3.995483219623565674e-01 1.295289039611816406e+00 6.450232863426208496e-01
8.000000000000000000e+00 1.807023239135742188e+01 -1.203640222549438477e+00 3.243299007415771484e+00 -5.681846663355827332e-02 9.559441804885864258e-01 3.060393929481506348e-01
9.000000000000000000e+00 1.866783332824707031e+01 -1.105342745780944824e+00 1.117435073852539062e+01 7.634244561195373535e-01 3.581332445144653320e+00 4.222596645355224609e+00
1.000000000000000000e+01 1.848904991149902344e+01 -1.192828774452209473e+00 7.599384784698486328e+00 3.927882015705108643e-01 2.397651910781860352e+00 2.159274816513061523e+00
1.100000000000000000e+01 1.831026649475097656e+01 -1.280314683914184570e+00 5.764493465423583984e+00 8.744014501571655273e-01 1.991668462753295898e+00 1.662283182144165039e+00
1.200000000000000000e+01 1.813148307800292969e+01 -1.367800712585449219e+00 5.429434299468994141e+00 7.743083834648132324e-01 1.861122727394104004e+00 1.686636924743652344e+00
1.300000000000000000e+01 1.869851303100585938e+01 -1.155041098594665527e+00 1.293258190155029297e+01 4.747375488281250000e+00 5.303987026214599609e+00 7.766986846923828125e+00
1.400000000000000000e+01 1.854018211364746094e+01 -1.275659322738647461e+00 8.972531318664550781e+00 2.860740661621093750e+00 3.549981594085693359e+00 4.784402370452880859e+00
1.500000000000000000e+01 1.838185119628906250e+01 -1.396277427673339844e+00 7.559986114501953125e+00 2.313348293304443359e+00 2.962000370025634766e+00 3.593650817871093750e+00
