# el_label, x, y, sXX, sYY, sZZ, sXY
1.000000000000000000e+00 4.533189010620117188e+01 -1.677867889404296875e+01 -2.938997030258178711e+00 -3.867598474025726318e-01 -9.977270364761352539e-01 1.960044056177139282e-01
2.000000000000000000e+00 4.550008773803710938e+01 -1.688510894775390625e+01 4.061062037944793701e-01 -5.641371011734008789e-03 1.201394423842430115e-01 3.616324961185455322e-01
3.000000000000000000e+00 4.566828536987304688e+01 -1.699153900146484375e+01 -4.562454521656036377e-01 -3.644992411136627197e-01 -2.462234199047088623e-01 1.305413395166397095e-01
4.000000000000000000e+00 4.583648300170898438e+01 -1.709796905517578125e+01 -2.635069787502288818e-01 -1.465617865324020386e-01 -1.230206340551376343e-01 3.954587578773498535e-01
5.000000000000000000e+00 4.535811996459960938e+01 -1.672656440734863281e+01 2.734371423721313477e+00 4.554024934768676758e-01 9.569321870803833008e-01 -2.421147108078002930e+00
6.000000000000000000e+00 4.554380416870117188e+01 -1.679825210571289062e+01 1.342157483100891113e+00 1.291504800319671631e-01 4.413923621177673340e-01 -5.973886847496032715e-01
7.000000000000000000e+00 4.572949218750000000e+01 -1.686993980407714844e+01 1.828859090805053711e+00 2.145315706729888916e-02 5.550936460494995117e-01 -3.364916145801544189e-01
8.000000000000000000e+00 4.591517639160156250e+01 -1.694162750244140625e+01 1.107794761657714844e+00 2.412893064320087433e-02 3.395771086215972900e-01 -3.834616839885711670e-01
9.000000000000000000e+00 4.537371444702148438e+01 -1.667034339904785156e+01 7.481373786926269531e+00 -3.066640496253967285e-01 2.152412891387939453e+00 -1.932560801506042480e+00
1.000000000000000000e+01 4.556979370117187500e+01 -1.670455169677734375e+01 4.521931171417236328e+00 -1.071177423000335693e-01 1.324444055557250977e+00 -1.177348017692565918e+00
1.100000000000000000e+01 4.576587677001953125e+01 -1.673875808715820312e+01 3.463835239410400391e+00 -5.681918561458587646e-02 1.022104859352111816e+00 -5.680970549583435059e-01
1.200000000000000000e+01 4.596195983886718750e+01 -1.677296638488769531e+01 3.133567094802856445e+00 -2.789845317602157593e-02 9.317005872726440430e-01 -3.040134906768798828e-01
1.300000000000000000e+01 4.537807464599609375e+01 -1.661216354370117188e+01 1.112182998657226562e+01 -4.563544690608978271e-01 3.199642658233642578e+00 -4.507898986339569092e-01
1.400000000000000000e+01 4.557706832885742188e+01 -1.660758590698242188e+01 7.222712993621826172e+00 -4.207116365432739258e-01 2.040600538253784180e+00 -3.567251861095428467e-01
1.500000000000000000e+01 4.577605819702148438e+01 -1.660300636291503906e+01 5.740308284759521484e+00 -2.761329412460327148e-01 1.639252543449401855e+00 -1.806530654430389404e-01
1.600000000000000000e+01 4.597504806518554688e+01 -1.659842491149902344e+01 4.836077213287353516e+00 -2.267491817474365234e-01 1.382798433303833008e+00 3.477785363793373108e-02
1.700000000000000000e+01 4.537104415893554688e+01 -1.655424690246582031e+01 1.335858917236328125e+01 5.943204089999198914e-02 4.025406360626220703e+00 1.836354613304138184e+00
1.800000000000000000e+01 4.556534194946289062e+01 -1.651105499267578125e+01 9.330019950866699219e+00 -1.691792011260986328e-01 2.748252391815185547e+00 1.065890908241271973e+00
1.900000000000000000e+01 4.575964355468750000e+01 -1.646786499023437500e+01 7.420767307281494141e+00 -2.002195864915847778e-01 2.166164398193359375e+00 8.818960189819335938e-01
2.000000000000000000e+01 4.595394515991210938e+01 -1.642467308044433594e+01 6.377607822418212891e+00 -2.274380326271057129e-01 1.845050930976867676e+00 8.922139406204223633e-01
2.100000000000000000e+01 4.535287857055664062e+01 -1.649880409240722656e+01 1.433293819427490234e+01 1.548997163772583008e+00 4.764580726623535156e+00 4.205279827117919922e+00
2.200000000000000000e+01 4.553506851196289062e+01 -1.641864967346191406e+01 1.041553115844726562e+01 7.243688106536865234e-01 3.341969966888427734e+00 2.781919002532958984e+00
2.300000000000000000e+01 4.571725845336914062e+01 -1.633849525451660156e+01 8.534979820251464844e+00 4.297607541084289551e-01 2.689422130584716797e+00 2.265610218048095703e+00
2.400000000000000000e+01 4.589945220947265625e+01 -1.625834274291992188e+01 7.295891761779785156e+00 2.297248393297195435e-01 2.257684946060180664e+00 2.032657146453857422e+00
2.500000000000000000e+01 4.532427597045898438e+01 -1.644795227050781250e+01 1.407943439483642578e+01 3.840744733810424805e+00 5.376053810119628906e+00 6.223160743713378906e+00
2.600000000000000000e+01 4.548740386962890625e+01 -1.633389472961425781e+01 1.067178916931152344e+01 2.308276414871215820e+00 3.894019842147827148e+00 4.356561183929443359e+00
2.700000000000000000e+01 4.565052795410156250e+01 -1.621984100341796875e+01 8.850217819213867188e+00 1.600259065628051758e+00 3.135143041610717773e+00 3.605251073837280273e+00
2.800000000000000000e+01 4.581365203857421875e+01 -1.610578536987304688e+01 7.718117237091064453e+00 1.236592292785644531e+00 2.686412811279296875e+00 3.234402894973754883e+00
2.900000000000000000e+01 4.528633499145507812e+01 -1.640363121032714844e+01 1.302363967895507812e+01 6.730260372161865234e+00 5.926170349121093750e+00 7.473199844360351562e+00
3.000000000000000000e+01 4.542416381835937500e+01 -1.626002883911132812e+01 1.018120384216308594e+01 4.334334850311279297e+00 4.354661464691162109e+00 5.494147300720214844e+00
3.100000000000000000e+01 4.556199264526367188e+01 -1.611642837524414062e+01 8.573676109313964844e+00 3.287770271301269531e+00 3.558433771133422852e+00 4.626039028167724609e+00
3.200000000000000000e+01 4.569982147216796875e+01 -1.597282600402832031e+01 7.571827411651611328e+00 2.601972341537475586e+00 3.052139997482299805e+00 4.112808227539062500e+00
3.300000000000000000e+01 4.524049758911132812e+01 -1.636753654479980469e+01 1.154946804046630859e+01 9.693673133850097656e+00 6.372942447662353516e+00 7.797775268554687500e+00
3.400000000000000000e+01 4.534776687622070312e+01 -1.619987297058105469e+01 9.282984733581542969e+00 6.644754886627197266e+00 4.778321743011474609e+00 5.993826866149902344e+00
3.500000000000000000e+01 4.545503616333007812e+01 -1.603220748901367188e+01 7.867537021636962891e+00 5.176339626312255859e+00 3.913162946701049805e+00 5.126809120178222656e+00
3.600000000000000000e+01 4.556230545043945312e+01 -1.586454391479492188e+01 6.954781532287597656e+00 4.305684089660644531e+00 3.378139734268188477e+00 4.522378921508789062e+00
3.700000000000000000e+01 4.518851470947265625e+01 -1.634104728698730469e+01 1.018846225738525391e+01 1.243442821502685547e+01 6.786867141723632812e+00 7.188457965850830078e+00
3.800000000000000000e+01 4.526113128662109375e+01 -1.615572166442871094e+01 8.220059394836425781e+00 8.810490608215332031e+00 5.109164714813232422e+00 5.841857910156250000e+00
3.900000000000000000e+01 4.533374404907226562e+01 -1.597039699554443359e+01 7.028751850128173828e+00 7.120573520660400391e+00 4.244797706604003906e+00 5.002256870269775391e+00
4.000000000000000000e+01 4.540636062622070312e+01 -1.578507328033447266e+01 6.164450168609619141e+00 6.009247779846191406e+00 3.652109384536743164e+00 4.495418071746826172e+00
4.100000000000000000e+01 4.513237380981445312e+01 -1.632517051696777344e+01 9.135937690734863281e+00 1.445553207397460938e+01 7.077440738677978516e+00 5.951828479766845703e+00
4.200000000000000000e+01 4.516756057739257812e+01 -1.612926292419433594e+01 7.436103820800781250e+00 1.069243717193603516e+01 5.438562393188476562e+00 5.037155628204345703e+00
4.300000000000000000e+01 4.520274734497070312e+01 -1.593335437774658203e+01 6.189189910888671875e+00 8.743668556213378906e+00 4.479857444763183594e+00 4.411114215850830078e+00
4.400000000000000000e+01 4.523793411254882812e+01 -1.573744678497314453e+01 5.563401222229003906e+00 7.508603096008300781e+00 3.921601295471191406e+00 3.914065599441528320e+00
4.500000000000000000e+01 4.507421493530273438e+01 -1.632051658630371094e+01 8.876034736633300781e+00 1.574325370788574219e+01 7.385786533355712891e+00 4.333919048309326172e+00
4.600000000000000000e+01 4.507063293457031250e+01 -1.612150573730468750e+01 6.857761859893798828e+00 1.195521831512451172e+01 5.643894195556640625e+00 3.862429857254028320e+00
4.700000000000000000e+01 4.506704711914062500e+01 -1.592249488830566406e+01 5.859642028808593750e+00 9.925527572631835938e+00 4.735550880432128906e+00 3.398558139801025391e+00
4.800000000000000000e+01 4.506346130371093750e+01 -1.572348499298095703e+01 5.004772186279296875e+00 8.567580223083496094e+00 4.071705818176269531e+00 3.023253440856933594e+00
4.900000000000000000e+01 4.501626205444335938e+01 -1.632726287841796875e+01 9.037867546081542969e+00 1.613278579711914062e+01 7.551196098327636719e+00 2.715756177902221680e+00
5.000000000000000000e+01 4.497404479980468750e+01 -1.613274765014648438e+01 6.993792057037353516e+00 1.260621929168701172e+01 5.880003452301025391e+00 2.535942554473876953e+00
5.100000000000000000e+01 4.493182373046875000e+01 -1.593823432922363281e+01 5.744194984436035156e+00 1.049966526031494141e+01 4.873157978057861328e+00 2.217201709747314453e+00
5.200000000000000000e+01 4.488960647583007812e+01 -1.574372100830078125e+01 5.054638862609863281e+00 9.126596450805664062e+00 4.254370689392089844e+00 1.993017673492431641e+00
