# el_label, x, y, sXX, sYY, sZZ, sXY
1.000000000000000000e+00 9.702937126159667969e+00 -2.983934059739112854e-02 -2.481132984161376953e+00 -2.693592309951782227e+00 -1.552417635917663574e+00 -2.668831348419189453e+00
2.000000000000000000e+00 9.504896163940429688e+00 -4.973223432898521423e-02 1.453110933303833008e+00 1.064993858337402344e+00 7.554314136505126953e-01 9.228507876396179199e-01
3.000000000000000000e+00 9.306854248046875000e+00 -6.962513178586959839e-02 -4.628402739763259888e-02 -4.294981956481933594e-01 -1.427346616983413696e-01 4.150974377989768982e-02
4.000000000000000000e+00 9.108813285827636719e+00 -8.951802551746368408e-02 -4.014978706836700439e-01 2.380046099424362183e-01 -4.904798045754432678e-02 2.121544182300567627e-01
5.000000000000000000e+00 9.714455604553222656e+00 -8.718428760766983032e-02 1.332878971099853516e+01 -2.595450401306152344e+00 3.220001697540283203e+00 2.396248579025268555e+00
6.000000000000000000e+00 9.524093627929687500e+00 -1.453071534633636475e-01 5.320078849792480469e+00 5.536117553710937500e-01 1.762107133865356445e+00 1.638131976127624512e+00
7.000000000000000000e+00 9.333730697631835938e+00 -2.034300118684768677e-01 4.937254428863525391e+00 9.046331048011779785e-01 1.752566218376159668e+00 2.274652004241943359e+00
8.000000000000000000e+00 9.143367767333984375e+00 -2.615528702735900879e-01 3.460267543792724609e+00 2.398825883865356445e-01 1.110045075416564941e+00 1.458047032356262207e+00
9.000000000000000000e+00 9.736933708190917969e+00 -1.411830335855484009e-01 1.830858993530273438e+01 3.053604364395141602e+00 6.408658504486083984e+00 9.968024253845214844e+00
1.000000000000000000e+01 9.561555862426757812e+00 -2.353050708770751953e-01 1.116575908660888672e+01 1.742684602737426758e+00 3.872533082962036133e+00 5.665438652038574219e+00
1.100000000000000000e+01 9.386178970336914062e+00 -3.294270932674407959e-01 7.624258995056152344e+00 2.418915987014770508e+00 3.012952566146850586e+00 4.412424564361572266e+00
1.200000000000000000e+01 9.210802078247070312e+00 -4.235491156578063965e-01 6.545156002044677734e+00 2.000766277313232422e+00 2.563776731491088867e+00 4.121739864349365234e+00
1.300000000000000000e+01 9.769508361816406250e+00 -1.897630989551544189e-01 1.946229553222656250e+01 1.034056091308593750e+01 8.940856933593750000e+00 1.565658760070800781e+01
1.400000000000000000e+01 9.615847587585449219e+00 -3.162718117237091064e-01 1.260103416442871094e+01 6.645264625549316406e+00 5.773889541625976562e+00 9.933356285095214844e+00
1.500000000000000000e+01 9.462185859680175781e+00 -4.427805542945861816e-01 9.802742958068847656e+00 5.161318302154541016e+00 4.489218235015869141e+00 7.764163970947265625e+00
